Date,AA,CAT,CPB,F,GM,HPS-A.TO,SIM,TSLA
2018-02-12,44.98495101928711,129.92050170898438,36.54315185546875,7.442822456359863,37.19645309448242,7.773548603057861,9.190800666809082,21.048667907714844
2018-02-13,45.61174774169922,131.35379028320312,36.81144714355469,7.366308212280273,36.66506576538086,7.691719055175781,9.162808418273926,21.577333450317383
2018-02-14,46.807491302490234,134.84300231933594,37.05607223510742,7.470646381378174,37.02817916870117,7.691719055175781,9.06017017364502,21.487333297729492
2018-02-15,45.87211227416992,136.48095703125,37.63999557495117,7.484557628631592,37.06360626220703,7.691719055175781,9.218792915344238,22.271333694458008
2018-02-16,45.66960525512695,133.33299255371094,36.432682037353516,7.380219459533691,36.390525817871094,7.658989906311035,9.13481616973877,22.365999221801758
2018-02-20,46.354270935058594,132.71022033691406,36.36165237426758,7.394132614135742,36.10712814331055,7.765367031097412,8.966861724853516,22.31800079345703
2018-02-21,45.85282516479492,132.42868041992188,33.852333068847656,7.373265743255615,35.92115020751953,7.830827713012695,9.041507720947266,22.219999313354492
2018-02-22,46.296409606933594,135.5254669189453,34.688777923583984,7.394132614135742,36.231117248535156,7.830827713012695,9.228123664855957,23.077999114990234
2018-02-23,45.033164978027344,138.55398559570312,34.815025329589844,7.442822456359863,36.231117248535156,7.830827713012695,9.228123664855957,23.469999313354492
2018-02-26,45.01388168334961,139.64602661132812,35.012298583984375,7.5749831199646,36.789058685302734,7.929015636444092,9.246785163879395,23.827999114990234
2018-02-27,44.57029724121094,137.57293701171875,34.6729850769043,7.380219459533691,35.575748443603516,7.929015636444092,9.144146919250488,23.39933204650879
2018-02-28,43.36491012573242,131.9168243408203,33.97068786621094,7.380219459533691,34.84954071044922,7.855374813079834,9.144146919250488,22.87066650390625
2018-03-01,43.46134567260742,128.16311645507812,33.363075256347656,7.157629489898682,33.46794891357422,7.773548603057861,9.13481616973877,22.062000274658203
2018-03-02,43.91456985473633,124.87863159179688,33.157928466796875,7.2341461181640625,33.14912796020508,7.822643280029297,9.172139167785645,22.341333389282227
2018-03-05,44.0206413269043,128.92236328125,34.341575622558594,7.3593525886535645,33.423667907714844,7.789914608001709,9.00418472290039,22.22333335876465
2018-03-06,45.31281661987305,131.16604614257812,34.64142990112305,7.394132614135742,33.59193801879883,7.691719055175781,9.013516426086426,21.8799991607666
2018-03-07,46.17104721069336,129.25509643554688,33.99436569213867,7.394132614135742,33.423667907714844,7.568979740142822,9.00418472290039,22.15333366394043
2018-03-08,45.77568435668945,131.02955627441406,34.04170227050781,7.380219459533691,33.85309600830078,7.568979740142822,9.097493171691895,21.940000534057617
2018-03-09,46.151763916015625,135.0050811767578,34.41259002685547,7.463690757751465,33.85309600830078,7.691719055175781,9.20946216583252,21.81133270263672
2018-03-12,46.63391876220703,131.80593872070312,34.39680480957031,7.519338607788086,33.84415817260742,7.609893321990967,9.20946216583252,23.034000396728516
2018-03-13,46.855709075927734,131.1149139404297,34.6729850769043,7.498470306396484,34.00518798828125,7.732633113861084,9.237454414367676,22.78933334350586
2018-03-14,44.907806396484375,130.13377380371094,34.87814712524414,7.665412902832031,33.71890640258789,7.782043933868408,9.162808418273926,21.775333404541016
2018-03-15,45.25495529174805,131.86566162109375,34.175865173339844,7.700189590454102,33.86204147338867,7.617344856262207,9.162808418273926,21.706666946411133
2018-03-16,45.54425048828125,133.47802734375,34.388912200927734,7.755840301513672,33.942562103271484,7.683224201202393,8.826900482177734,21.42333221435547
2018-03-19,44.705299377441406,129.80111694335938,34.40469741821289,7.658456802368164,33.11054992675781,7.625579357147217,8.78024673461914,20.90399932861328
2018-03-20,44.81137466430664,131.43055725097656,34.02593231201172,7.644543170928955,33.0031852722168,7.617344856262207,8.93886947631836,20.703332901000977
2018-03-21,46.238555908203125,132.91494750976562,33.276283264160156,7.721060752868652,33.620487213134766,7.617344856262207,8.882885932922363,21.101999282836914
2018-03-22,43.316688537597656,125.32223510742188,33.22103500366211,7.477602481842041,32.52008056640625,7.64204740524292,8.873555183410645,20.606666564941406
2018-03-23,43.114192962646484,123.09561920166016,33.35519027709961,7.345442295074463,31.46440887451172,7.617344856262207,8.64028549194336,20.1026668548584
2018-03-26,44.13636016845703,127.27588653564453,33.51301574707031,7.5332489013671875,32.19801712036133,7.617344856262207,8.808238983154297,20.278667449951172
2018-03-27,43.29741287231445,125.3990478515625,33.68661117553711,7.5332489013671875,31.196016311645508,7.658520698547363,8.770915985107422,18.61199951171875
2018-03-28,42.83454513549805,123.83786010742188,34.25476837158203,7.554116725921631,31.73279571533203,7.650282859802246,8.63095474243164,17.185333251953125
2018-03-29,43.35527420043945,125.73175048828125,34.175865173339844,7.707147598266602,32.511146545410156,7.617344856262207,8.49099349975586,17.742000579833984
2018-04-02,42.75740051269531,122.75440979003906,33.33940887451172,7.554116725921631,31.992244720458984,7.534995079040527,8.500324249267578,16.832000732421875
2018-04-03,43.73134994506836,123.75251007080078,33.363075256347656,7.755840301513672,33.04792785644531,7.658520698547363,8.71493148803711,17.8353328704834
2018-04-04,45.24530792236328,123.85489654541016,34.112728118896484,7.881045818328857,34.02307891845703,7.658520698547363,9.368084907531738,19.12933349609375
2018-04-05,45.910682678222656,126.37161254882812,34.30999755859375,7.894956588745117,33.99623489379883,7.691460132598877,9.517376899719238,20.381332397460938
2018-04-06,46.334983825683594,121.98658752441406,34.50727844238281,7.776707649230957,33.70995330810547,7.814982891082764,9.032177925109863,19.953332901000977
2018-04-09,48.81325149536133,122.06334686279297,34.13639831542969,7.8253984451293945,33.84415817260742,7.823220729827881,8.93886947631836,19.310667037963867
2018-04-10,52.149757385253906,126.3375015258789,33.881839752197266,7.964515686035156,34.953495025634766,7.880865097045898,8.76158618927002,20.31333351135254
2018-04-11,52.04367446899414,125.22842407226562,34.08071517944336,7.95060396194458,34.89088439941406,8.152616500854492,9.00418472290039,20.062000274658203
2018-04-12,52.52583312988281,128.0863037109375,33.945472717285156,7.8671345710754395,34.738792419433594,8.14438247680664,9.12548542022705,19.60533332824707
2018-04-13,52.99834060668945,128.16311645507812,33.77045440673828,7.846266269683838,34.649322509765625,8.029092788696289,8.93886947631836,20.022666931152344
2018-04-16,53.06584167480469,129.79257202148438,34.05685043334961,7.915825366973877,35.0429573059082,8.053794860839844,9.07883071899414,19.413999557495117
2018-04-17,55.04267883300781,130.79067993164062,33.834102630615234,7.915825366973877,35.08769989013672,8.053794860839844,9.12548542022705,19.179332733154297
2018-04-18,57.279869079589844,133.0429229736328,33.28517532348633,7.881045818328857,34.828250885009766,7.724398612976074,9.153477668762207,19.55666732788086
2018-04-19,58.08024215698242,132.8296661376953,32.83172607421875,7.7259626388549805,33.79047393798828,8.152616500854492,8.91087818145752,20.005332946777344
2018-04-20,57.868099212646484,131.39781188964844,32.107784271240234,7.627273082733154,33.64732360839844,8.127914428710938,8.78957748413086,19.349332809448242
2018-04-23,50.047569274902344,132.03225708007812,32.48965072631836,7.782355785369873,33.71890640258789,8.029092788696289,9.302769660949707,18.891332626342773
2018-04-24,49.0061149597168,123.84404754638672,32.680572509765625,7.7259626388549805,33.93360900878906,8.012621879577637,9.480053901672363,18.8973331451416
2018-04-25,50.09577560424805,124.48704528808594,33.02264404296875,7.831701755523682,34.09465408325195,8.029092788696289,9.228123664855957,18.71266746520996
2018-04-26,51.050437927246094,125.44733428955078,33.197669982910156,8.05727481842041,34.219886779785156,8.004388809204102,9.228123664855957,19.031999588012695
2018-04-27,49.75826644897461,124.08414459228516,33.476112365722656,8.09957218170166,33.68312454223633,8.004388809204102,9.20946216583252,19.60533332824707
2018-04-30,49.37255096435547,123.7754135131836,32.44191360473633,7.923341274261475,32.86899185180664,8.127914428710938,9.013516426086426,19.593332290649414
2018-05-01,50.13435745239258,123.82687377929688,32.577152252197266,7.937439918518066,32.582706451416016,8.127914428710938,8.892215728759766,19.994667053222656
2018-05-02,51.17580032348633,123.34671783447266,31.78162384033203,7.902192115783691,32.385894775390625,8.127914428710938,9.07883071899414,20.07666778564453
2018-05-03,51.3783073425293,123.27814483642578,32.139610290527344,7.895143985748291,32.341156005859375,8.103208541870117,9.172139167785645,18.963333129882812
2018-05-04,52.44868469238281,125.49880981445312,32.63283157348633,8.007933616638184,32.84215545654297,8.029092788696289,9.12548542022705,19.606000900268555
2018-05-07,52.60297775268555,128.45689392089844,32.64079284667969,7.993831634521484,32.511146545410156,8.004388809204102,9.377415657043457,20.184667587280273
2018-05-08,51.84117126464844,128.55116271972656,32.85558319091797,7.944488048553467,32.502197265625,8.029092788696289,8.724263191223145,20.131332397460938
2018-05-09,51.58081817626953,130.84902954101562,32.9033203125,7.796453475952148,32.44851303100586,8.029092788696289,8.70560073852539,20.456666946411133
2018-05-10,51.8701057434082,132.01512145996094,32.76807403564453,7.902192115783691,33.2447395324707,8.234966278076172,9.657339096069336,20.334667205810547
