Date,AA,CAT,CPB,F,GM,HPS-A.TO,SIM,TSLA
2024-10-01,38.96063232421875,387.6904296875,47.06858825683594,10.270268440246582,44.665283203125,141.25978088378906,27.670000076293945,258.0199890136719
2024-10-02,38.950687408447266,389.33050537109375,46.581939697265625,10.012316703796387,44.605567932128906,141.87640380859375,27.670000076293945,249.02000427246094
2024-10-03,37.9562873840332,386.406005859375,46.385765075683594,9.98365592956543,44.76480484008789,136.823974609375,27.670000076293945,240.66000366210938
2024-10-04,38.90096664428711,392.3341369628906,46.44461441040039,10.09830093383789,45.46145248413086,137.45053100585938,27.670000076293945,250.0800018310547
2024-10-07,39.24900817871094,393.4802551269531,46.228824615478516,10.021870613098145,45.76001739501953,142.7715301513672,27.670000076293945,240.8300018310547
2024-10-08,37.51874923706055,383.3134460449219,46.66040802001953,10.021870613098145,45.78987503051758,147.3068084716797,27.670000076293945,244.5
2024-10-09,38.22477340698242,391.4449157714844,46.59174728393555,10.146069526672363,47.700687408447266,146.73989868164062,27.670000076293945,241.0500030517578
2024-10-10,39.03023910522461,391.8895263671875,46.92524337768555,10.203392028808594,47.46183776855469,148.82850646972656,27.670000076293945,238.77000427246094
2024-10-11,40.79032897949219,397.205078125,46.50346755981445,10.241606712341309,47.64097595214844,149.4849395751953,27.670000076293945,217.8000030517578
2024-10-14,41.56596374511719,389.23175048828125,47.180274963378906,10.432682037353516,48.3973388671875,,27.670000076293945,219.16000366210938
2024-10-15,41.06875991821289,383.3431396484375,47.435302734375,10.35625171661377,47.621070861816406,143.7462158203125,28.84000015258789,219.57000732421875
2024-10-16,41.834449768066406,388.90570068359375,47.42549133300781,10.537773132324219,48.77552032470703,135.65036010742188,27.579999923706055,221.3300018310547
2024-10-17,40.124080657958984,389.7652893066406,47.77861022949219,10.575986862182617,49.14375305175781,141.75706481933594,27.270000457763672,220.88999938964844
2024-10-18,41.47646713256836,389.1427917480469,47.57262420654297,10.604649543762207,48.94470977783203,139.38002014160156,27.270000457763672,220.6999969482422
2024-10-21,41.28752899169922,387.189453125,46.3563346862793,10.394466400146484,48.69590377807617,138.3655548095703,27.100000381469727,218.85000610351562
2024-10-22,41.78472900390625,385.1864318847656,46.45442581176758,10.614202499389648,53.472938537597656,135.97857666015625,27.100000381469727,217.97000122070312
2024-10-23,41.64551544189453,382.4794616699219,46.06207275390625,10.566433906555176,52.666812896728516,135.52105712890625,27.959999084472656,213.64999389648438
2024-10-24,41.78472900390625,383.7982482910156,46.09149932861328,10.73840045928955,52.4677734375,139.74801635742188,27.229999542236328,260.4800109863281
2024-10-25,40.86988067626953,382.7174377441406,46.16996765136719,10.575986862182617,51.82088088989258,139.0020751953125,29.450000762939453,269.19000244140625
2024-10-28,41.17814636230469,387.3183288574219,46.719261169433594,10.86259937286377,52.47772216796875,141.16030883789062,27.709999084472656,262.510009765625
2024-10-29,40.829261779785156,384.2444763183594,45.86589431762695,9.945441246032715,51.29341506958008,138.03733825683594,25.489999771118164,259.5199890136719
2024-10-30,40.4305419921875,376.04412841796875,45.78742599487305,10.002763748168945,51.72135925292969,129.77239990234375,26.0,257.54998779296875
2024-10-31,39.962039947509766,373.02978515625,45.757999420166016,9.830796241760254,50.517147064208984,120.01560974121094,26.0,249.85000610351562
2024-11-01,40.44050598144531,376.43084716796875,45.444122314453125,9.763920783996582,50.716190338134766,123.49662780761719,26.0,248.97999572753906
2024-11-04,40.59999465942383,373.3470764160156,45.493160247802734,9.897671699523926,51.55217361450195,116.30584716796875,26.25,242.83999633789062
2024-11-05,42.64345169067383,380.13934326171875,45.846282958984375,10.126961708068848,53.443084716796875,116.2163314819336,26.790000915527344,251.44000244140625
2024-11-06,45.21521759033203,413.3669738769531,45.355838775634766,10.690631866455078,54.78662109375,118.35466766357422,26.81999969482422,288.5299987792969
2024-11-07,45.54416275024414,404.77001953125,44.25725173950195,10.613163948059082,55.124996185302734,122.70096588134766,27.850000381469727,296.9100036621094
2024-11-08,44.63706970214844,390.0550842285156,44.71826934814453,10.622848510742188,55.314090728759766,125.06806182861328,27.850000381469727,321.2200012207031
2024-11-11,43.37112045288086,393.1983642578125,43.904136657714844,10.874619483947754,57.38414001464844,125.05811309814453,26.5,350.0
2024-11-12,40.81929397583008,389.6981201171875,43.39408493041992,10.748734474182129,57.13533401489258,122.58161926269531,26.5,328.489990234375
2024-11-13,40.460445404052734,383.80816650390625,43.42350769042969,10.748734474182129,57.43389892578125,128.6087646484375,26.8799991607666,330.239990234375
